Q9Y5P4	O75298
Q9NRL2	P00488
Q7L5D6	Q13613
Q9P1U0	O43169
P18146	Q8N543
Q96A56	Q14997
P14866	Q96MF7
Q92905	O00422
P30622	P20226
Q9BXL5	O15457
Q86YV9	Q99757
Q96QD9	Q5T4S7
Q9UH92	P02730
P11717	P07900
Q9UDV6	P01584
Q9UBU7	Q01780
P10589	Q6AHZ1
P12931	Q8N5Z5
Q9BXP5	P12821
P35268	A0JLT2
Q7L590	Q9UBT6
Q8WWH5	Q96GM5
Q9BQ67	Q9H8T0
P20618	Q13620
Q02410	Q96AG4
Q13127	O43488
O14513	P98170
P18754	Q9UJV9
O00411	Q9UIM3
Q16513	Q96PE2
P35606	O95865
Q5VV67	P14859
P54274	Q9Y5M8
Q96PU4	Q13435
P78539	P62854
Q9UBF9	P46939
O75030	Q99757
Q96BK5	Q6PCD5
P46089	Q99598
Q99583	Q13435
Q9NZJ7	P22087
O60508	P29966
Q9P0N5	P02686
Q9UPT5	Q6UN15
Q13127	O43422
Q92934	Q9BRK5
P82251	O00418
Q92614	O14776
P98082	P43363
P17600	Q5VZL5
Q9UPR6	O43464
Q86X53	Q04724
O75351	P49137
O75150	Q9UL15
Q14241	Q9NVR5
Q53GI3	O95238
Q96HT8	Q13469
Q9BQ67	O60573
Q9BVQ7	Q9UPY3
Q8IVL1	O43257
P98170	Q6P1M3
P10589	Q9H814
P49903	Q96QK1
O60902	Q13352
Q9H0E9	P17735
Q9UIL1	Q14498
Q12933	Q12952
Q9UH92	P54274
P55072	P07900
Q16513	Q9UHV9
Q9UBT6	O00422
Q13127	O95340
Q5JTV8	O75347
P51178	P51116
P78537	O76041
Q9BRK5	O60356
P11717	Q9BZG8
P35659	Q15025
P07954	Q494U1
Q7L2Z9	Q9Y3A4
Q96IK5	P51449
Q9UH92	Q14061
Q9H0E9	Q13263
O95989	Q96MU7
Q9BUG6	P68402
Q15041	O95376
Q13569	Q5SXM2
Q02818	P15172
Q14789	P02549
Q12756	Q02818
Q12872	P07108
Q9UPT5	Q7Z699
Q96M86	Q9UIC8
Q5T750	Q15154
Q5D1E8	P24864
Q9Y5M8	Q99743
O60936	P35250
Q9NX09	P11474
O00267	P10589
P23276	O43303
Q8TF42	P67809
P30519	Q96FS4
Q13698	Q9NX09
Q12982	O14562
O75478	P46939
Q86XN8	Q14289
Q12982	Q8N7J2
Q15834	Q9UJV9
Q8N5L8	Q7L5N1
P78539	P62424
Q7L190	O14490
Q12756	O00422
Q4G0J3	O14492
Q96EI5	Q96KP1
O43303	O15457
O43638	Q9H9B1
Q9GZU7	Q15573
Q9NX70	P07108
P10827	Q9UQN3
P23276	P47914
P04150	P49802
Q86U86	O00422
Q16836	Q6PJW8
P40337	Q9NR09
P06753	Q9NPQ8
Q8IVL1	P05362
Q5T0W9	O00311
Q6PHW0	Q9NS56
Q96DU7	Q8WV28
P38606	P62851
P55347	Q15198
Q9Y508	Q99961
Q8IZQ8	Q4G0J3
Q14451	O14646
O14490	Q13541
Q01201	Q9H171
P49815	Q13131
P36543	Q5JTC6
Q4G0J3	O14777
Q96NJ5	O15353
P09543	Q9Y467
Q8N1B3	Q16611
Q02878	Q12959
Q13635	Q9BV40
Q8N137	Q8NFD5
O00303	Q6P597
P08151	Q96FS4
Q8WWH5	Q16401
Q63ZY3	Q9Y508
Q7Z3U7	Q92973
Q15041	O75569
P07307	Q01538
Q7L4P6	Q9P2R3
Q63ZY3	P20309
Q6UN15	Q9BZD6
O43763	O60936
Q9GZQ8	Q8TDC3
P07919	Q96DU7
Q12980	Q15836
P09543	Q96CT2
Q9H5N1	Q14674
Q7Z3U7	Q14449
Q86WP2	Q9BV40
Q03701	Q9Y244
O60447	P56524
Q8N137	Q15139
Q8N4C7	Q07869
O60610	Q96FS4
Q13287	Q96IV0
Q9P0M9	Q16832
Q8NG27	Q6UN15
Q96KC8	Q16143
P50458	P34897
Q8IUF1	P62879
P31645	Q9NRY5
P46734	Q15744
Q7Z7B0	Q16619
Q15758	Q02410
Q3SY00	P98177
Q68CL5	P83111
O43521	P49815
O15479	Q9UKJ3
Q9UIM3	P62633
Q12982	O14908
P07602	O43318
O15511	O14901
Q99741	Q96FF9
P42704	P49116
P49903	Q99700
Q53GL0	P22695
Q15020	Q6ZU65
P14868	P53350
Q99608	Q12874
Q9UM13	P28072
P52272	Q9NX09
Q8N137	O14519
Q9Y6X8	O43633
Q01201	Q9UKY1
O95816	Q2NKX8
Q9UBT6	P32745
Q12766	Q86T90
A6NHR9	Q13613
Q96PM5	Q15418
O00295	Q6ZU65
Q9UJY5	Q13263
Q92797	Q9BV79
Q9H204	Q96PV0
Q9C0B0	P81877
P11717	Q9BZW7
Q86WX3	Q8TB36
P30622	P49918
O43290	O95238
Q9P0M9	Q9P2G9
Q9UBP4	O14976
Q9H2C0	Q13263
