Q9HBH7	Q9H410
Q13144	P62081
P08397	Q96PE2
Q96A56	Q86UX2
Q99615	P14635
Q9H211	Q14005
Q9NR09	Q99961
P30304	P26651
Q9HCH5	Q99728
P49116	P04062
Q13085	P04632
Q9GZT5	Q9UIF7
Q13888	Q9HCI5
O14974	Q13158
O60684	A7KAX9
O15353	P60369
P35658	P08397
P17480	P54105
P20749	P49918
Q8IY57	Q9NZ52
Q12933	Q06330
Q13200	Q03468
Q9HCS7	Q59H18
Q96BK5	Q9UIQ6
Q49MG5	O75558
Q13422	Q9Y6A5
P05783	Q9NRL2
Q66K89	Q6PGP7
Q96DE5	Q8IWS0
P22626	P08235
Q8N944	P15924
P54687	Q15906
Q5RKV6	Q6NXE6
P46063	Q7LFX5
P62807	Q9Y3C5
Q8IY57	Q5VWP3
A1A519	P49589
Q99961	Q7Z3K3
P17040	Q13123
Q9BU76	Q96BT7
P20749	Q9UBY9
Q9P2K1	O94826
P62913	Q12929
P14868	Q14674
Q9UQN3	Q9BUZ4
Q7L2Z9	O94761
Q8IWV7	Q9P2G9
Q86Y82	Q96M83
Q9UIF7	O43290
O60346	Q9GZT9
O60296	Q03468
P46109	Q9Y6Y8
O60516	P04150
O14965	Q6P4R8
Q9H254	Q13131
O75400	Q9UJV9
Q16236	Q92766
Q86YD7	Q02297
Q14320	P35558
Q5T750	P35568
P78406	Q7L4I2
P19793	Q9P0K8
Q9BQS8	Q9NPC6
Q99683	Q8N2I9
Q8IVL1	Q9UHK0
O75182	Q9HCI5
Q15746	O60684
O00161	Q8IX12
Q12967	Q2NL98
Q7Z6Z7	P62917
Q16625	P54253
Q01804	Q7LFX5
P49005	P10070
O00625	Q99683
Q15788	O43301
Q92917	Q13772
Q5U5Q3	Q9UBL3
O15014	Q6NXR4
Q13724	Q9H444
P19338	Q9BZF3
Q13601	Q9UBE8
Q8N5S1	Q00872
O94966	Q9UP38
Q8WVZ9	P35498
Q9UI38	P13807
P35568	P19622
P11836	O43488
Q9Y2W7	Q13352
Q15910	Q9H5J0
Q13043	Q9P2G9
Q9Y3B8	Q96S94
Q01780	Q9HCI5
Q9UNM6	P08195
O75592	Q8NFZ5
Q9Y5K8	P51449
P35869	P13807
Q7LFX5	Q8TAE8
P23508	P08397
Q6ZNC8	Q9UBL3
Q96A57	Q9P2G9
P15884	Q96NY9
Q96KM6	Q9H2G4
P20749	P98177
Q99618	Q16637
Q9Y3M2	Q12874
Q6P2Q9	Q96SB4
P61254	P08397
Q9BV79	Q96JP2
Q9H4B6	Q8NE71
O43474	O15504
Q8WZ42	O94761
Q9BV79	Q06609
Q8WYA6	Q9BYE7
Q02218	Q12967
Q6AHZ1	Q9NS69
P00736	Q5M9N0
Q9NVE4	O43169
O60927	Q9NS73
P78406	Q9GZU2
Q5JR59	P51693
Q9UJZ1	P38919
Q9UHI6	Q92786
Q9UM13	Q13190
Q16626	Q92817
Q96RI1	P07919
Q9UBB5	Q66K89
P54687	P04637
Q9NXS2	P04062
P62277	P55212
P48039	Q9Y6R4
Q9UM13	Q9H223
Q99750	Q9BYE7
P05362	Q15834
Q8N5Z5	Q5VIR6
Q9BX66	O94826
Q9UJZ1	P25791
O15446	Q15834
Q8IY57	O43186
Q92786	P17677
Q68CZ1	Q96BR9
P11717	Q9UJ55
P42772	Q13794
P28340	P33076
Q8TD19	O95793
Q9NY61	O96028
Q53EZ4	P54105
Q13868	Q9H2G4
Q96DE5	P17096
Q92567	Q02818
Q96Q83	Q9HCU9
Q9H204	O43929
O00221	P32246
Q99583	Q13635
Q96RR1	Q09472
Q9NRR4	Q02447
Q8IXT5	Q9Y3C5
P49756	Q9NRI5
Q8N5S1	Q9BXB1
Q8NA72	Q9Y663
Q96PU8	Q9H992
O43768	Q9Y3A4
Q9UK41	Q92817
Q68DK7	P52565
Q13492	O43593
Q99942	Q86VP6
O43593	P54619
P00918	Q9UDX3
O60610	A7KAX9
P01100	Q9BV79
P49711	P17677
O75787	O95816
O94875	Q9NP66
O15085	Q9NZM5
Q9UHI6	P20585
Q92974	Q8WVZ9
Q96RU2	Q96L08
P51003	Q9UIC8
Q6R327	Q9UP38
Q96BR9	Q9P227
P63208	Q9NY61
Q14722	Q6P4R8
P86791	P46939
Q96DB5	Q86SX6
Q9NYF0	O15304
Q6ULP2	Q9UH73
Q8N114	P00918
A1A519	P61218
Q8NHZ8	O96017
O94875	Q96BR9
Q99961	A7KAX9
Q9H7B2	P10244
P49356	Q2YD98
Q9H8T0	Q15834
P26358	O94992
O95863	P62081
Q9UQN3	P04632
Q86WQ0	P54278
O95999	P47736
Q9H3R0	P54259
P28072	Q8ND82
Q9H7B2	Q8N7H5
Q9UK80	Q96HA1
Q13613	P14635
Q8N6I1	Q13363
O94811	Q14135
Q05823	O14593
Q9UBS0	P50895
Q9HCI5	Q9Y446
Q9ULH1	Q03468
Q13263	P22531
P78345	Q12967
P62888	Q96NY9
Q8WWY3	O76070
P51532	Q13635
Q15361	O43597
O95995	O43488
Q9BX66	Q8WZ19
Q8N5S1	Q9NZZ3
Q15038	O00762
Q9H2G4	Q86YV9
Q9UIG0	Q68CP9
Q14678	Q8WV16
P26358	Q9P1U0
O00762	Q9H2C0
P37840	P12314
Q9UHR5	Q9UBS0
O43633	Q96AG4
P62899	Q9BUZ4
Q9UK80	Q9Y3P9
Q9BYJ9	P32246
P42356	Q9C086
P21333	Q99708
Q9H147	P51003
Q15029	P54259
Q9H7B2	Q2Q1W2
Q14318	P21333
Q99608	Q9UJV9
Q99942	Q9UL40
Q9ULU4	O43597
O43597	Q9UKT9
Q9P031	Q9NY61
Q9GZR7	P13805
O60869	Q15560
Q9Y2H9	Q03468
Q9BW85	P21333
Q9UJP4	O94761
Q9NPG3	Q5VT06
Q8IYD8	Q8NA72
Q9UIF7	P04198
P42704	Q14676
P61221	Q13724
Q8N6S5	O75478
O43422	Q15170
Q96IT1	Q53GL0
Q9UNQ2	Q86U42
Q99618	O43865
Q16401	Q6P4R8
P29590	P78537
P54687	Q9BQG0
P61964	Q03052
Q8N4C6	Q2NKX8
