P23025	P20585
P04637	Q07020
Q13573	Q15029
Q9NX55	P49903
P29353	Q05682
P08047	P36956
P27695	Q12933
P04637	P62888
P17096	O00358
P15884	P35637
Q9UGL1	O95983
P40337	Q9NPB6
P15884	O60573
P02545	Q13190
P19793	Q9BV79
P40337	Q9Y5M8
Q14061	P61956
P54725	Q9H944
Q93009	Q96EI5
P24522	Q8TAE8
P17096	Q15006
P49354	P09529
Q9NQC3	Q9C0B0
P38936	Q9UBN7
Q09472	P16455
Q01844	Q96GY3
P02545	Q96DF8
Q01844	P61081
P04637	P61247
P19793	Q14686
P60896	P48556
P25054	P52272
P38936	Q09472
Q93009	P61956
Q8WZ42	Q00872
Q93009	Q9H992
P38936	P04637
Q9Y5B0	P61218
P09651	P08397
P53350	Q7Z7A1
P46527	Q92831
Q93009	P20226
P04637	Q86V81
Q01844	Q969G3
P04150	Q15459
Q9H832	Q00987
Q01844	Q9NRA8
Q01844	P18847
O14733	Q9H0C8
P04637	Q8N3R9
P29353	P20749
Q00987	P18754
O15350	Q9H410
P54725	Q9NRR5
P19793	Q15544
P19793	Q9Y4B4
Q09161	Q96FV9
P02545	O95863
Q09472	Q6ZRS2
P09651	O60506
P04637	Q14151
P02545	Q96GX5
Q13573	Q9H223
P14635	O75340
P52298	P18615
P25963	P04637
P46531	P49757
Q01844	Q68CL5
Q9UKV8	Q15020
P02686	Q99759
Q8N488	Q9NQL2
Q00987	P10276
P08047	O15156
Q13573	Q9H3U1
P02545	Q5VWP3
Q49AN0	O95816
Q01844	O75391
P49841	Q9BZV1
Q9UBE0	Q96CS3
P46527	P38936
Q09472	Q13131
P38936	P15884
P35611	O95425
Q01844	Q9H0E9
Q9UER7	P17480
P49841	O14965
P15884	Q9BWU0
P19793	Q16637
Q93009	O95425
P38936	O75376
P37840	Q9UI14
P04818	P36543
P02545	P36956
P02545	P20700
Q13541	P17252
Q9UGL1	O75444
P38936	P09874
Q13573	P52732
P11387	Q13573
P38936	Q15834
Q00987	P40424
P40337	Q9Y496
P25054	Q8N944
P04637	P54132
Q93009	Q12931
P04150	P61956
P49841	P46821
P04637	Q15008
P40337	P08195
P04150	P20226
Q01844	O75496
P49841	O14908
Q00987	Q9NRR5
P35611	Q7Z3B4
P38936	Q6PKC3
Q8WZ42	P20929
P08047	Q01196
P35637	Q13148
Q9UKV8	Q6DN90
P38936	P58107
P35637	Q96S44
P30291	Q9HC98
P49841	P47897
Q00987	P05783
P09651	P13645
Q49AN0	P63208
P25963	O75376
P04637	P62879
Q9UBE0	P35637
P14635	Q16204
P49841	O95863
Q13573	O43172
P04637	P11387
P49841	O75533
P37840	Q14204
P04150	P30519
O15350	P0C2W1
Q14191	Q15554
Q09472	P55209
P53350	P47710
P19793	P56524
Q09161	Q13838
P60896	Q9H7B2
Q00987	Q00839
P08047	P55212
P02686	Q9NSY1
P01100	P53539
P49841	P46776
Q09472	Q99743
Q09472	P20248
O15169	Q15008
Q01844	Q9ULE3
O15169	P25791
Q8WZ42	P12814
P14635	Q99640
Q00987	Q9UBE8
P01100	P29084
P02545	O14737
P41236	Q15435
P54725	P62195
P38936	P06576
Q9Y6Q9	Q15466
Q01844	Q9Y478
Q13541	Q9UKV8
P04150	O95425
P49841	P36956
P09651	Q9ULR5
Q09472	P25208
P04637	Q00987
P53350	Q16143
P04150	Q12888
P19793	Q13573
Q9HAU5	Q9Y663
P04150	Q9UKY1
Q9UKV8	Q00839
Q00987	Q05397
Q9NQB0	Q9UBE8
Q09161	P14635
P14635	P16455
P46531	Q93009
P49841	P07108
Q00987	O15212
P08047	O15294
Q9NQC3	Q9Y4K3
P40337	Q13574
Q13573	Q9NYF8
Q13573	Q14498
Q93009	Q8NCN4
O15169	Q9H2K2
Q01844	Q8TF01
P04637	Q9UKN8
Q01844	P53814
P54725	O43242
P29353	Q14451
P04637	O75569
Q00987	Q5SZK8
Q93009	Q9Y5K8
P43351	Q06609
P08047	P04637
Q09472	O14576
P51946	P29084
Q00987	Q07065
Q13698	Q9UQ26
P25054	Q96S59
P11387	P52272
P04150	Q13228
P60896	Q6P9B9
Q01844	Q92793
Q13573	Q13618
Q9NQB0	Q15038
Q9UKV8	P42858
P04150	Q9P013
P04637	Q53EZ4
P01100	Q14686
P51946	P49336
P04637	Q68CZ1
Q09472	O43524
Q00987	Q9UER7
Q9UER7	Q9H4L4
P35637	Q13085
Q00987	O60506
Q01844	Q99961
P15884	Q14687
Q01844	Q14289
P04637	Q9UBE0
Q09161	P11441
P46531	P33992
O15350	P37837
P54725	Q16401
Q9UER7	Q93009
P35637	Q9NQB0
P17096	Q92831
Q13573	Q00577
P15884	P35222
Q00987	P62195
Q14191	Q14676
Q9UER7	P16220
P37840	O94811
Q9Y5B0	Q01094
P27695	Q9Y4K3
Q93009	P28072
P49841	P25054
P02545	P55212
Q9NQB0	Q9UER7
P09651	Q15428
P25963	Q3ZCQ8
P04150	Q9NQW6
P04637	O43293
P15884	P18146
O43236	P22736
Q09472	Q99598
Q13573	Q8N201
Q13573	Q8IUH5
P53350	Q92547
P49841	P47914
P09651	Q86VP6
P49841	Q14678
Q00987	P22626
Q09472	Q12834
Q9NX55	P40222
P07476	Q9UBC9
P01100	P17612
P40337	Q96EB6
P37840	Q9UII4
Q13573	Q00839
P04637	Q02447
Q01844	Q8WZ42
P49841	Q15418
P40337	P22626
P08047	P09874
Q9Y6Q9	Q969V6
P49841	Q9UHY1
P15884	O15232
P04637	Q15013
P04637	Q96BN2
P35869	Q09472
P46527	P20618
Q99967	Q09472
P25963	Q99558
Q09472	Q92466
P29353	P06400
Q09472	P54725
P54725	Q09472
P11387	Q15029
P35637	P02751
P29353	Q96DB5
P35637	P40926
P40337	Q99814
P04150	Q15562
P01100	P43243
P09651	Q9HCD5
Q00987	Q07864
P08047	P51948
P19429	P62195
Q01844	P29966
P09651	Q15466
P25054	Q02750
P02545	P04637
Q9H2S9	P56524
Q93009	P78347
P24522	Q9H254
P19793	P12931
P63027	Q9NQ11
Q9UBE0	Q02790
Q93009	Q15910
P25054	Q9Y5Y6
P38936	O95257
P08047	A0PJY2
P02686	P49759
P09651	O95793
P49841	Q13794
O75496	P42574
O15350	P24864
Q9Y5B0	Q9UN36
P04637	Q96A56
Q09472	Q01826
P08047	Q02446
Q01844	Q6ZU65
O75496	Q12834
P02686	P17612
O75496	P38936
P04637	P15927
O15350	Q8WUF5
P04637	Q7Z3B3
O15350	P42704
P19793	Q15788
P09651	Q9UJV9
P61244	P42766
P02545	O75147
P02545	P21333
P04150	Q01105
Q13573	O60506
P01100	Q96AG4
Q01844	P54725
P27695	Q14203
