Q9UI38	A6NKF1
Q96IV0	Q6U841
Q9Y5Q9	Q9NX46
P16949	Q9BZD6
O43719	Q08050
P11171	Q96RK1
Q86XN8	Q99569
Q13432	Q9NP77
P55055	O75901
Q8IXF0	Q92797
Q9NS56	P43699
Q99640	P67809
Q99583	Q96JK9
P51116	Q13573
Q969R5	Q92541
Q8IVB5	O15357
Q96KR6	P48735
Q96D09	O15479
Q9H1E3	Q13492
Q6IE81	Q9Y2H0
Q86YD7	Q8NB90
O95865	O75901
Q2NL98	Q9Y468
Q96N46	Q9NRZ9
Q9Y2T1	Q6UXH1
Q9NS73	Q16513
Q9H204	Q02750
Q16665	P35606
Q9NZZ3	O75901
O00515	Q8N114
Q96KP1	Q14232
P36543	Q8NE71
P78356	P19447
Q7L4P6	Q7L3B6
P99999	P67809
P49901	Q96RU2
Q9NQG5	P48788
O95251	Q6PKG0
Q8N5S1	Q5TDH0
P05114	P62316
Q9H840	Q86WX3
O75530	O75694
P54687	P38936
O43521	Q8N2M8
O43513	Q8IWU2
P62316	O60271
Q9C0K0	P47813
P53367	Q8N5S1
Q9NQG5	P18124
Q92974	Q9UKY7
Q9NTK5	Q9NWB6
A2RRL7	Q9Y2H9
O43169	Q96BZ8
Q15637	Q96RN5
Q86VM9	Q15542
P23588	O75821
Q96CX2	Q9UJW3
O43236	Q9H6Z4
P16389	Q96DU7
Q8NI08	Q14103
Q9Y6X6	Q15906
O15265	O75530
P28799	Q5MNZ9
O75592	Q08378
Q9UNW1	Q9UBD5
P0C2W1	O60563
O75592	Q00341
O43638	P01100
O95456	P61221
Q9GZR2	Q9NZM5
Q96QH2	Q9NWT6
O14770	O15156
Q9BX66	P78345
Q9NZZ3	Q16270
O43422	Q9P2R3
Q15046	P47929
O14639	Q8NBZ0
O75030	Q9Y2W2
Q13523	P55347
P61221	P06400
Q92766	Q96JP5
Q14669	Q13562
Q08050	O15111
O60356	Q8NFV4
Q15554	Q9H9J4
Q96KC8	Q9BZD6
P51116	Q494U1
Q7Z3Z4	Q92567
Q92466	Q13492
P99999	O75683
Q8WXF7	O43303
Q9UPW0	Q13601
O75122	Q8TDD1
Q96BT7	Q13905
Q9Y2W2	P40222
O15530	Q9Y3T9
Q9NQB0	P10109
Q92905	Q8TD17
Q16665	Q9NRA8
Q15653	Q9NVE4
Q9NVS9	O75182
Q9BQ69	Q86VP6
P48039	Q9Y2W1
O00303	P55316
O60296	Q86Y33
Q9NPG3	Q8TAD4
Q86Y82	P57060
P55316	Q92614
P04075	P04921
Q96IT1	P46734
P12036	P78318
P37231	Q9BYV6
Q9NRY5	Q12766
Q9GZT9	Q9BSW2
P61927	Q96A56
O15446	Q9NRZ9
P82094	Q9NPF5
Q99966	Q9H1I8
Q9UGN5	O60749
Q92541	Q9BUG6
Q8IXF0	P30519
Q9NVS9	P10636
Q9GZR2	Q16633
Q13085	P55316
Q7LFL8	Q8NEM2
P11274	Q01780
Q5T0W9	O14733
P34897	P09529
Q9NQB0	P49321
Q8TBN0	Q13601
Q93074	Q96KD3
Q9Y4K3	P48023
P49754	Q8NDV7
P34897	Q92973
Q96HA7	Q5JTV8
Q96P66	Q8NCP5
O15234	Q9Y2T1
Q9UBT6	P04921
Q9UHY1	Q9P2K1
Q99569	Q13158
Q02363	O75564
P61952	Q9Y2H0
P78563	P55347
Q92766	P61952
P34897	Q15672
O60447	P10644
Q9H2G4	P48023
Q05823	Q9NVI1
Q9Y2V7	Q96BK5
Q9NRC8	P29353
Q7Z3Z4	P18754
Q05066	Q14135
P57740	Q16512
Q5JTC6	Q9NRL2
Q13838	O75688
Q6PGQ7	Q6U841
Q15041	Q9NYZ3
Q13303	Q9UIM3
Q9NS56	Q08379
Q08378	Q9Y385
Q86YD7	Q9C086
Q9BVJ6	Q08378
Q15788	Q9P2F8
Q8TBN0	Q96JB6
P06396	Q9P015
Q9NXS2	P61927
Q13216	Q8IY63
Q86YD7	Q9UQ26
Q9NXE8	Q96MN5
Q8N5Z5	O60346
Q6U841	Q9BVP2
P27816	O15156
Q9UDY8	Q2M1K9
Q9NTK5	P05089
P29474	P07992
P02730	Q02218
Q8N5S1	Q92844
Q14896	P07602
P61964	Q8N5U6
O15357	Q13492
Q8TDN6	Q9Y2H0
Q9ULR5	Q8IY63
Q9H4A6	Q9P1Y6
Q96KB5	Q8N7J2
Q9BXP5	Q9NZ52
Q8WUM0	Q9NR09
Q9H0F5	Q7L3B6
Q92541	O75534
Q06330	Q9HCH5
Q8WUZ0	P29474
O75530	O60941
P61964	Q9Y496
Q96DH6	P12081
P52948	Q9P1U0
Q92974	P14854
Q8IWS0	Q5JTV8
Q9NPG3	Q9HDC9
Q7Z6Z7	O95257
Q01804	Q9UP38
P61081	Q9NRC8
Q92888	Q96DE5
P11171	Q9UPN3
Q53HL2	O43303
Q9NRC8	Q13635
P67809	P48735
Q09472	P47813
Q5VST9	Q96QH2
Q9Y291	Q96LI5
Q02447	Q9Y237
Q9BX70	Q00341
Q9P2R6	P27816
O95785	Q5JTC6
Q27J81	Q92567
Q9NP77	Q9UHQ1
Q9BXM7	Q9NXG2
Q92547	P11473
Q96PV0	P20309
Q9ULU8	Q92851
Q86UT5	O14639
Q8TE76	P54687
P82094	P04818
Q9Y2W1	Q9HA38
O43638	O14562
P62316	P31270
Q96QH2	Q9UBE8
P27816	Q96BN2
Q6RSH7	P00736
O00422	O75569
Q9H840	Q9BRS2
Q96QH2	Q9P2Y4
P07307	Q14289
P22626	P22531
P20936	Q9P0M9
P50458	P10109
Q6XD76	O15111
P11441	Q92974
Q86WX3	Q9HC78
Q9UNW1	Q9NWV8
Q9Y244	Q9HCH5
P20042	Q9H1I8
P78345	P12821
Q9NTK5	Q5T749
P11274	P14859
O75122	O95785
Q13144	Q8N344
O75312	Q13363
Q9UPW0	Q9UG63
Q8N944	Q05513
Q16270	P31270
Q9GZM7	Q8WZ19
P10827	P57740
Q96N46	Q13118
Q9NQL2	Q16621
O00422	Q14451
Q9H307	Q13635
Q86WX3	P28360
Q6NUQ1	Q13435
Q9HCI5	Q9UG63
Q8IY63	Q15746
Q8IWV7	Q9UIC8
O76041	P62917
O60716	Q8TB36
Q9HCM7	O95400
O96028	O43593
Q9UH99	Q9Y2H0
Q8TDN4	Q13118
Q9NX70	Q96PV0
P49321	Q96M27
P49005	Q9Y2W2
Q9BQA1	P05023
Q04760	Q5T0W9
P62910	Q9NW82
Q49MG5	Q96PV0
Q86WX3	P56693
Q5VSY0	Q7Z699
P48556	P07307
Q69YQ0	Q9H4B4
O00358	P61221
P28223	P23490
Q15744	Q13227
P35251	Q8IX07
P22531	Q96J94
Q86VM9	Q16787
Q96IF1	Q5XUX0
P08473	Q96BT3
P17040	Q13561
O14770	P06400
Q8NE71	Q96T21
Q8WW38	P48735
Q86UW6	O43303
Q9Y6X6	Q9UBF2
Q8IUQ4	Q01968
Q9ULV3	Q96PV0
P13797	Q13492
P55011	P62316
P55316	Q03052
O60927	Q92974
Q96IT1	Q13043
P20823	Q2NL98
Q96NL6	Q9H501
Q6RSH7	Q9P0P0
O75362	Q9HCM4
Q12905	Q96IT1
P42356	Q12980
Q9NYY8	Q93074
Q8WVV4	Q92888
O43593	O95238
O43242	Q8N2M8
Q9UEY8	Q9UL15
Q9NXG0	O75145
Q8NBB4	P55347
Q9GZR7	Q13698
Q9HCH0	P35268
P53567	O14776
P40424	Q86V15
P47813	Q96JP5
P62273	P48023
Q5JTH9	O60869
Q9NXG0	P43364
P11171	Q8WYQ5
P08648	Q9P015
Q99608	P49902
Q9P2R3	P00736
Q9UGU0	Q9NYQ6
O60447	Q96MW1
Q6ZNC8	Q5VSY0
Q16851	O00358
Q7LFL8	P00558
P52298	P07602
P10827	Q9H1I8
Q13043	Q9BQ69
Q8N3V7	Q5XUX0
Q92905	Q6UXH1
P78345	O15126
Q9UNW1	Q14722
O75396	Q5XPI4
Q96HT8	Q13772
Q02750	Q9UPQ9
Q96P70	Q96IT1
Q9NRZ9	Q8IWJ2
Q93074	Q13769
Q14145	Q9Y2H0
P35713	Q96MN5
P32246	O15479
O43186	O00116
Q15788	Q92974
P49005	Q9NRZ9
P62277	P09651
Q8NCA5	Q05513
Q15046	Q2M1K9
Q96BR9	Q9BSW2
Q9H832	O14544
Q9NV56	Q9P2F8
Q9UGN5	Q13887
Q7L590	P62913
Q99536	Q15573
P09429	Q53RT3
Q49MG5	Q99996
P48023	P05089
O14613	Q70EL2
Q6U841	Q9H2G4
O95817	P09543
P10071	Q5JTV8
Q6P1M3	Q5XUX0
Q86SQ0	Q9P2F8
O14770	O14593
Q9BYE7	O14776
Q6ZRS2	P09543
O00165	Q9BRS2
Q9BRT9	O95149
Q8WW12	P04921
Q8WV16	Q92541
Q9UNW1	Q9UKG1
Q6ZU65	Q9P2K1
O15530	Q15834
P07108	P04921
O14682	P68402
P53567	Q13772
Q01968	O43464
Q96D09	Q16513
O60568	Q9ULW0
Q9ULW0	O60936
Q9NTK5	Q9Y6X8
Q9UGL1	Q15633
Q9BSW2	Q96M86
Q8IY63	Q96A56
P35611	O75312
Q8IWG1	O00116
Q99615	O15530
Q53GT1	Q99598
O60563	Q9H0E3
Q9UJ04	P07602
Q7Z7A1	Q96JN0
Q8TDD1	Q8NCP5
Q8NEY1	P05204
Q9UJY1	Q9HA38
O95721	Q7Z3K3
Q9H204	P15924
Q9UNW1	P50851
Q9NYB0	P05023
Q96A57	P04198
P09496	P48039
O76070	Q7L3B6
Q9P0U4	O00515
P17040	P51693
Q9H3U1	O15479
P55347	Q9UKA4
Q5BJF6	A2RRL7
Q9NYQ6	P35268
P51116	Q13561
Q02410	Q9BZD6
Q9NPG3	P35568
O14810	Q8IWU2
Q15435	O43593
P61964	Q15562
Q9GZU2	Q7L3B6
Q9C005	P49356
Q96IT1	P05155
O95251	Q96CV9
Q9BZW7	O75354
P61221	O60343
P46087	P09543
Q14232	O75530
Q9Y5S9	P35228
P22626	Q15633
Q14135	P55212
P84074	P53041
Q6PI78	Q9NRI5
P0C862	P57740
Q70EL2	O75533
Q9NX70	Q9NVI1
