Q9H0A6	P10071
Q9H221	P63167
O00499	Q9ULU4
P35869	Q5TAQ9
Q5XUX0	Q96GX5
Q53GI3	P40424
Q92932	Q96BD6
Q96FF9	Q9Y285
O60296	O14646
Q9UJ55	P16389
P24588	O60841
P43363	P61244
Q96BT3	O95218
Q7LFL8	P19447
Q9BTC0	Q7L4P6
O60341	Q9UBY9
Q9H8V3	Q13469
P46527	P32314
Q92900	Q6YI46
Q05397	P52948
Q5VT52	O94880
P62081	Q04760
Q75QN2	P58340
P02545	Q14498
Q9UEY8	P51648
Q86Y13	Q92988
Q01538	Q9ULE3
O14543	P78559
Q3ZAQ7	P31645
Q8N0Z3	P07307
P55347	Q9H2K2
P0C862	P19447
Q8WZ19	Q8N543
Q9NP66	Q9NRL2
Q3ZCQ8	Q5VWP3
Q9NQL2	Q8WV16
Q92619	P05814
Q99618	Q01538
Q92585	Q9ULU4
P56693	O60508
Q9H4G0	Q7Z5K2
P21579	Q92934
O15105	Q92522
P11831	O14654
P49815	P49321
Q00872	O43290
Q8WVM7	Q9HCG8
Q96E09	Q3SY00
Q07021	Q8N3X1
P18621	Q13422
Q14103	O95999
Q9NY61	P38936
Q99967	P20749
P50151	Q96KC8
P16435	P28799
Q00987	Q969R5
P53805	P62851
Q8IUQ4	Q02818
O95793	O15511
Q9BXL5	O00409
Q9Y5U2	Q14997
Q53GI3	Q96GM5
P35268	P78537
Q8IUC4	P53539
Q9P258	O00116
P78537	Q9P015
P48556	Q15404
Q01968	P55265
Q86SX6	Q01105
Q8WYA6	Q05519
Q9UM73	Q15788
Q66K89	Q9ULW0
Q7L590	O43719
O95456	Q12996
Q99418	Q9UHX1
Q9H171	Q9H254
Q14241	P42677
Q8IZQ8	Q9UM73
P00918	Q92743
P48431	P22415
Q9Y4K3	Q15906
Q9UJ04	Q7KZI7
P62195	P02794
Q5VT52	Q9UHR5
Q96D09	O75128
Q86V48	O75444
P26651	O14519
P43351	Q14686
Q9Y6X8	O75604
Q2YD98	Q9ULH7
Q9UHI6	Q5VIR6
Q8WTP8	Q9BPY3
Q96N46	Q92743
O75815	Q9NRR4
Q12905	Q13887
Q9UHX1	Q9BPY3
Q9H0E9	Q9UBY9
Q9BXL5	Q6P996
O14777	O60674
O00295	Q8WUM0
Q8N5M1	Q9NSI2
Q99549	Q05519
Q96J01	P50553
P07108	Q6NZ67
