Q02790	Q9UKY1
Q9UMS4	Q86XP3
Q8NDC0	O43597
O96017	Q92547
Q8NDC4	P23760
P31645	Q92888
Q92905	Q9ULU8
P29590	P30304
Q96QH2	O00165
Q14997	Q9UIG0
Q9UFC0	O60749
Q9Y262	Q9HCH5
P15884	Q71F23
O43524	Q5VUA4
Q5JTH9	Q02548
Q8N5L8	Q9NRX1
P20585	A7KAX9
Q9NRL2	Q9H6S0
A1XBS5	Q6IAA8
Q6ZQN5	P26368
O75474	Q9C086
Q14320	Q9Y385
Q9UKK3	P37837
Q7Z3B4	O00487
Q9P0K8	P18847
Q14232	O75530
Q96N46	Q9Y6K9
Q96M86	P47897
O14733	Q16513
P48023	Q13303
P14868	P61081
P30519	Q9UL15
P33993	Q6PGQ7
Q8NDC0	P11388
Q96S55	Q9UBB5
Q14203	P20618
Q9UJY5	Q8NE71
Q96M86	Q9Y5X4
Q16625	Q13888
Q86TC9	Q13029
P55345	Q96M02
O75486	O75901
Q14232	O43865
P34925	P86791
Q8N137	P62888
P28340	Q9Y696
Q9BTU6	Q68DK7
Q9H4I2	Q9Y262
O75787	Q7Z5K2
Q9Y468	P52952
O00161	Q5U5Q3
Q9BRX9	P13797
Q8IZL8	Q07021
Q99700	Q9UIG0
P12081	P20248
O95989	Q15025
Q6DN90	Q9HAH7
Q9BRX9	P55209
Q9NUW8	Q9NSV4
Q8TF01	O15014
Q8N344	P0DPB3
Q8IUH3	P49841
P61964	Q9Y618
P46734	Q96S44
Q9ULU8	O43633
Q9BTC0	Q15008
Q9GZR1	Q9P0K8
Q96JP2	Q9NX09
Q5VWP3	P78345
Q9C086	O43186
Q9UBD5	O15212
Q14005	P46939
P25208	Q8N5U6
Q9UER7	P83111
Q8IVB5	P12036
Q15038	P51648
Q9NRL2	Q14191
Q9Y5M8	P52952
Q9UKT9	Q5VUA4
O43865	P54687
Q9UKK3	Q16832
Q8WW38	Q9UBN7
Q96PU8	Q5VYS8
Q96EP1	O94906
Q9UKV3	Q8TD20
Q5SXM2	Q16625
O94762	Q5U623
Q9UNE7	Q9P2Y4
Q9UMS4	Q15554
O60664	P82673
Q8TBZ2	Q9P0K7
Q96MA6	P20309
Q6PCB8	P26651
O95721	Q14005
Q9Y262	P14866
P04264	P20585
Q9UGN5	O43559
Q9UER7	P0C7T5
Q9NRL2	Q9NYL9
Q99683	Q9H3Q1
Q5T447	Q9H2S9
Q86XR8	Q6NXR4
Q8ND82	Q9NXG2
Q8NI08	Q12766
Q9UNL2	Q9H254
O00555	Q9P2Y4
Q9Y5P4	Q15003
Q8IWS0	P49715
Q8N5S1	P27695
P55347	Q96EP1
Q9Y696	O60749
Q7RTS6	P84101
Q9BRX9	Q9UPY3
Q8N6M0	Q5JTV8
O14654	Q7KZI7
O76070	P54687
P35498	Q96NB3
Q9NSV4	O15151
P48539	Q9Y3A4
Q01804	P05423
P78539	Q9UQ26
Q02548	Q13469
P09429	Q8NCP5
Q96JN0	Q9NWB6
P52952	Q9Y467
Q14451	Q9P2Y4
Q5SW96	Q9UGU0
Q5SW96	P22695
Q9UPR6	P00918
P49759	Q96M83
Q96Q27	Q15386
P20749	P35520
Q7Z2W9	Q96BT7
Q8N9T8	Q9NZU5
Q9C086	Q96FF9
P61978	Q9NVW2
P48023	P47813
Q96KM6	Q15418
P46060	Q9HAU5
Q15699	Q9BRS2
P52824	P0C1Z6
P35251	Q92989
Q86Y33	P98175
Q12962	Q9UHR5
Q68E01	Q9UMS4
P07199	P40424
P01857	Q86X95
Q92567	Q8N344
Q9BYW2	Q9UPR6
O95989	Q96RU2
Q5T5U3	P46379
Q9UK76	Q14005
Q5JR59	P07199
Q02241	Q13868
Q96T21	P26651
P46527	P17040
Q96JP5	Q96Q83
O95983	Q8WVZ9
O00267	Q6R327
P42768	Q9NVW2
P53805	P61328
Q96LI5	Q02086
P12081	Q13387
Q9UJW3	Q96RR1
O60481	Q6PJW8
Q10586	Q99689
Q8NHZ7	P14859
Q96AQ6	Q9NZ81
Q01538	P27816
P10644	O60568
P61221	Q96Q27
Q14203	Q96DY7
Q9H8V3	Q05682
Q92619	Q8N201
P62917	Q96Q83
Q96MA6	P40424
Q86X53	P08151
P08670	Q9NYZ3
Q53GT1	Q9NQU5
Q8WVM7	O14562
Q9UNE7	Q9BTA9
Q8NI35	Q9Y6R4
A1XBS5	P61201
Q9H4I2	Q5M775
Q9NRL2	Q99848
Q13573	Q70EL2
Q9H074	Q86V81
Q96RG2	Q8NI35
Q9H9F9	Q9Y295
Q9P2Y4	Q9UM11
Q15542	O15457
Q92934	Q5U5Q3
Q8NDC0	Q9NZ81
Q9HC62	Q6EMB2
O94992	Q96GM8
Q5M775	O60566
O00499	Q8WUZ0
Q9NRL2	Q8IUH5
O94762	Q49MG5
Q9NQB0	Q96GM8
O43236	Q99966
Q6UUV9	O60610
Q6R327	O60516
Q8N1G4	Q5VTD9
O60749	P55316
Q6PI78	P35520
P52948	O00221
Q6PHW0	Q9P0K8
P84101	P42285
Q96L91	Q8WVZ9
Q15653	Q5VZL5
O14744	P49757
Q9H254	P10644
Q7Z3B4	Q99741
Q9Y222	Q8WXI9
P11441	O43169
Q96A65	Q9BQ69
Q8NI08	Q9NRR4
Q15038	O43464
Q53HL2	Q9Y222
O75128	Q8NEY1
Q96NB3	P13805
Q9UBP6	P47929
Q13127	Q8N0W5
Q92973	Q12952
Q6P3W7	Q5VWP3
Q9NRZ9	Q9Y2W2
O60481	Q13352
Q9UHQ1	Q07021
Q16851	Q9NX18
P07199	Q9Y5L4
P62910	Q9Y3A4
Q9UDX3	P17931
Q9BRX9	Q08050
P46527	Q9ULR5
Q6P2Q9	O14746
O00515	Q14103
P09543	Q96A65
Q9Y620	O14908
Q8N108	Q9P0K8
O75347	Q01780
P78332	Q8N6M0
Q5VYS8	P43243
Q9HCC0	Q9BTV4
Q6VMQ6	Q13868
Q9BYJ9	Q2NL98
Q13772	O00750
Q9UH99	Q8WXF7
P58340	Q96Q83
Q8N1B3	Q13573
Q8N5M4	Q8WWH5
Q6UUV7	Q9NYQ6
Q15038	Q8IXM3
Q9P1U0	Q8WYA6
Q8TAB5	Q9Y3A4
Q8N0W5	Q9Y3E7
Q96KM6	Q7KZ85
P25098	Q5SY16
A0PJY2	P48023
A1XBS5	Q9UKX7
O14682	Q9NVW2
Q15910	O75031
Q9UBD5	Q8N1B3
P23511	P47736
Q15653	O14497
Q14320	Q96QK1
Q8NDC0	Q92932
Q86X19	Q7Z5K2
O00409	P22059
Q10586	Q9HD26
Q9H410	Q9NRY5
P33992	O60568
P20585	Q16637
Q8N4S0	Q7Z5K2
P10070	Q13131
P84074	Q14103
Q9BSJ8	P53367
Q96JC9	Q6RSH7
O60674	Q9UKK3
Q8TF42	Q5JTC6
P61952	Q7Z5R6
Q5JU00	Q8N5U6
O60481	Q9Y4H2
Q9H4A3	P49815
Q86X55	P52732
Q15020	Q96NB3
P54132	Q9UBF9
P04075	P12036
Q96SB3	O00165
Q9UJP4	Q96E09
Q14005	P50553
P85037	Q8WXX7
Q9H4A3	O95785
Q15435	O60749
P48634	Q8N5M4
Q9UIF7	Q9H3Q1
P27540	Q96JK9
Q9Y2H0	P17542
Q16836	Q14103
Q96N46	Q14444
Q86X53	P61247
Q15653	Q6EMB2
Q9GZU7	Q9H0E9
O75531	Q6PGQ7
Q6UN15	Q8N4N3
Q9UJA5	Q7L014
Q5M775	P63010
Q13114	P16104
P49137	Q13868
P28340	O60244
P10070	Q2NKX8
Q92932	O60356
O14654	P60369
P14868	Q15139
Q9HDC9	P63173
Q9BQ67	Q7L3B6
Q8N344	P07476
O15511	Q9P0K7
O95149	Q6NUN9
O60220	Q15032
Q7Z7F7	Q9C0J8
Q70J99	Q68CZ1
Q9UMS4	Q6NYC8
Q7Z5R6	Q9UJV9
Q9UJX0	Q8N4N3
Q9NS87	Q12934
Q8N5L8	Q07065
Q6ZQN5	Q9H444
Q9NRL2	O43633
Q15653	O95251
Q9NQ87	Q9NYF8
Q96Q83	Q96FV2
Q8NDC0	Q9UGU0
Q9UBS0	Q9P0N5
P62277	Q8WUM0
Q13523	Q9H8T0
O15055	Q5SYC1
O14654	Q9P127
P29401	Q8N5L8
P37837	P51948
Q68CL5	Q9Y2T1
Q86X19	Q15038
Q9Y262	Q9Y2U8
Q96NB3	P42677
Q7KZF4	Q9BZF3
Q96DU7	Q8WYA6
O15273	Q9NQG5
O15446	Q9UIG0
Q8IWS0	Q02086
Q8NE09	Q5SY16
Q5T447	Q9UBE0
Q9UBP6	Q9C0K0
Q9NYA1	P47736
P10589	Q9NPQ8
Q9NX09	P61328
Q9H9Z2	Q92973
Q96GA3	O75312
Q8WUM0	O94906
Q6P2Q9	O75901
P00488	Q7Z5R6
Q53GT1	Q96S59
O60941	P29558
P23490	O94880
Q9C0H5	Q9P0U4
P20749	Q9NYF8
Q14451	Q92547
Q96EP1	Q9NQB0
P49902	O15530
Q9UBW7	P41223
Q86VQ0	Q9Y6I3
Q13118	Q9UNQ2
P17096	Q15013
Q9H0F5	Q96GY3
Q01831	Q96MA6
P49756	Q9H3Q1
Q9HDC9	P35869
Q6P9B9	P78317
Q9UH73	Q9Y3E7
Q14320	Q9HD26
Q96JC9	Q01831
P30049	Q96ER3
P05155	P31645
